AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
30,72000.0,1,2,5,5,1.0,1,478
71,7700.0,2,5,1,2,6.0,3,88
68,1300.0,1,1,1,1,6.0,3,91
61,0.0,2,5,2,1,6.0,1,50
33,24000.0,2,1,2,1,1.0,1,99
49,18000.0,1,1,5,3,1.0,4,57
44,149400.0,2,1,5,1,1.0,2,67
56,150000.0,1,1,5,1,1.0,1,53
61,10000.0,1,1,4,1,6.0,1,65
57,26500.0,2,1,3,1,1.0,2,54
74,216200.0,1,1,3,1,6.0,2,33
45,70000.0,2,4,2,1,1.0,3,92
22,410.0,1,5,4,5,3.0,3,86
47,90300.0,2,5,3,3,4.0,2,98
61,20000.0,2,1,3,1,1.0,1,44
71,22100.0,2,1,3,1,6.0,1,60
60,100000.0,1,4,2,1,1.0,3,237
77,48500.0,2,1,4,2,6.0,4,53
70,12000.0,2,1,3,3,6.0,2,46
55,65000.0,2,1,5,1,1.0,1,55
94,114400.0,2,1,3,2,6.0,1,49
47,28000.0,1,4,2,3,1.0,3,206
39,60000.0,1,4,2,1,1.0,1,66
41,15000.0,2,1,3,1,1.0,4,82
46,50000.0,1,1,2,3,1.0,1,70
89,0.0,2,1,2,1,6.0,1,84
64,159000.0,2,1,5,1,6.0,1,54
44,80000.0,2,1,5,5,1.0,1,211
26,28000.0,2,4,4,1,1.0,1,56
38,0.0,2,1,1,1,3.0,6,89
68,78000.0,1,1,5,1,6.0,2,136
21,20000.0,2,4,2,5,1.0,1,193
32,162000.0,2,5,4,1,1.0,2,66
44,55000.0,2,5,3,1,1.0,1,38
21,48000.0,1,4,2,5,1.0,1,126
37,120000.0,1,4,3,1,1.0,6,65
40,60000.0,2,5,1,1,1.0,3,75
65,35000.0,1,1,1,5,1.0,1,51
22,0.0,1,4,2,5,6.0,1,32
29,60000.0,1,1,3,1,1.0,1,60
40,0.0,2,4,3,1,6.0,1,64
74,211500.0,1,1,5,2,6.0,2,35
45,0.0,1,2,5,1,6.0,7,93
60,189000.0,1,5,4,2,1.0,2,125
77,60700.0,1,3,2,1,6.0,5,57
20,13000.0,2,1,2,5,1.0,1,44
71,136400.0,2,2,3,5,6.0,1,63
58,220000.0,1,1,2,1,1.0,1,30
25,58100.0,1,5,2,5,1.0,1,92
