AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
81,-1198.0,2,1,2,1,6.0,3,50
24,6242.0,1,4,3,5,1.0,1,92
28,28936.0,2,1,3,1,6.0,1,14
26,12541.0,1,4,3,5,1.0,1,111
35,28480.0,1,1,4,1,1.0,1,32
36,35115.0,1,4,4,1,1.0,5,74
67,8494.0,1,4,4,1,1.0,1,80
73,65120.0,1,1,5,1,6.0,2,52
80,43234.0,1,5,4,1,6.0,7,11
54,5301.0,1,1,4,5,1.0,1,86
65,400.0,2,5,4,2,6.0,2,240
60,10798.0,1,1,2,3,6.0,1,90
69,110612.0,1,1,4,3,1.0,1,91
51,39158.0,2,2,3,1,3.0,1,97
56,45386.0,2,1,3,3,6.0,1,101
23,20808.0,1,1,2,5,1.0,1,81
88,124264.0,2,4,1,2,6.0,3,135
20,32430.0,2,1,5,5,1.0,1,275
38,-2855.0,2,5,3,4,6.0,3,86
74,11007.0,2,1,3,5,1.0,2,60
25,103373.0,1,1,3,1,1.0,1,46
40,222719.0,2,1,3,1,1.0,1,234
51,630.0,2,4,1,5,6.0,1,55
71,-5956.0,1,2,3,5,6.0,1,72
40,33826.0,1,5,4,5,1.0,6,114
62,32704.0,1,1,4,1,1.0,2,5
53,165009.0,2,2,3,5,6.0,1,121
65,6668.0,2,1,3,1,6.0,2,46
45,27074.0,2,5,3,1,6.0,3,74
21,-4802.0,2,5,1,5,6.0,3,85
27,11833.0,2,1,3,2,6.0,1,63
40,96954.0,2,1,3,5,3.0,1,108
21,111280.0,2,1,3,3,6.0,2,102
61,75319.0,1,3,5,1,1.0,5,15
81,10336.0,2,3,5,1,6.0,2,57
42,-6900.0,1,3,5,5,1.0,1,58
31,100071.0,1,1,4,1,1.0,1,108
57,19321.0,1,2,2,5,6.0,1,98
77,-6900.0,2,5,4,2,6.0,5,41
60,1286.0,2,1,3,3,6.0,1,109
43,152669.0,2,5,4,4,1.0,2,131
31,57337.0,2,1,4,1,1.0,1,64
19,-2134.0,1,4,3,5,3.0,1,56
51,155845.0,1,1,4,1,1.0,1,48
76,29662.0,1,1,4,1,1.0,1,76
60,6363.0,2,1,3,2,6.0,2,22
76,196480.0,2,2,3,5,6.0,1,29
46,90881.0,2,5,2,1,6.0,1,52
41,85733.0,1,5,4,5,1.0,1,58
52,87837.0,1,3,4,1,1.0,5,104
34,65438.0,2,1,3,1,6.0,2,104
77,381139.0,1,1,5,2,6.0,2,20
32,-2501.0,1,4,5,5,6.0,3,101
21,-6900.0,2,4,3,5,3.0,1,118
46,62536.0,1,5,2,1,1.0,1,93
34,57900.0,2,1,3,5,6.0,7,37
87,384.0,2,1,1,2,6.0,1,75
23,126178.0,1,3,4,1,1.0,1,87
84,-6900.0,1,1,5,1,6.0,2,58
53,23764.0,2,5,4,5,6.0,3,34
31,759.0,2,1,2,2,6.0,2,20
55,66999.0,2,3,4,5,1.0,5,94
75,17371.0,2,2,1,5,6.0,2,163
35,27594.0,1,1,5,1,2.0,1,49
79,74963.0,1,1,2,3,1.0,1,105
59,-3045.0,2,1,1,3,6.0,2,49
47,15936.0,2,3,1,2,6.0,5,71
42,17622.0,1,1,3,5,1.0,1,69
73,-6900.0,2,2,1,2,6.0,1,96
79,89589.0,2,1,4,1,1.0,3,88
30,98252.0,1,2,2,1,6.0,6,180
35,3858.0,1,2,1,5,1.0,1,72
24,71395.0,1,1,4,1,2.0,1,46
60,6662.0,1,1,3,2,6.0,4,68
25,-1253.0,2,4,2,5,3.0,6,87
36,97927.0,2,1,4,1,1.0,2,44
58,-1593.0,1,2,1,5,1.0,6,67
24,50333.0,1,4,2,5,1.0,1,101
23,124776.0,1,3,5,1,1.0,5,62
25,58677.0,1,3,4,1,1.0,5,59
31,12964.0,2,5,3,2,6.0,1,90
65,3805.0,2,4,3,5,6.0,7,91
68,38549.0,2,2,3,5,6.0,1,51
47,56473.0,1,1,5,1,4.0,2,293
34,5284.0,2,1,2,3,6.0,1,45
44,37127.0,2,2,4,1,2.0,6,153
34,47642.0,1,5,1,5,6.0,7,142
86,219522.0,2,3,5,1,6.0,1,67
42,-6096.0,1,4,1,1,6.0,3,59
89,3343.0,2,4,2,3,6.0,1,68
31,76956.0,2,3,5,1,1.0,1,74
18,5084.0,1,5,3,5,1.0,1,35
92,-6900.0,2,3,4,1,6.0,5,23
87,161932.0,2,2,3,3,6.0,1,104
70,10909.0,2,1,3,2,6.0,2,72
25,68586.0,1,1,4,1,1.0,1,71
69,69422.0,1,1,4,1,1.0,5,123
62,73418.0,1,1,4,1,1.0,1,52
47,28964.0,1,1,3,5,1.0,1,93
51,-1139.0,2,5,4,5,3.0,3,54
18,79701.0,2,4,4,1,1.0,1,12
45,131748.0,1,1,3,1,1.0,1,65
21,-6900.0,1,4,2,5,6.0,3,117
35,-1683.0,1,4,2,5,1.0,1,67
83,55274.0,1,3,4,1,1.0,4,119
86,-6900.0,2,1,3,3,6.0,2,36
40,188563.0,1,5,4,5,1.0,1,73
23,24974.0,2,1,3,3,6.0,2,289
82,5238.0,2,1,1,2,6.0,2,29
52,127415.0,1,3,5,5,1.0,5,83
50,161770.0,1,5,3,5,1.0,1,291
76,65129.0,2,1,3,5,6.0,1,31
18,2279.0,1,5,3,5,1.0,1,31
30,34648.0,2,1,4,1,1.0,1,91
24,-6546.0,2,5,3,3,6.0,1,125
36,3739.0,2,5,4,1,6.0,1,100
39,55034.0,2,1,4,1,1.0,4,123
22,-6900.0,2,4,3,5,6.0,3,284
22,15335.0,1,5,2,1,6.0,1,55
50,3718.0,2,4,3,2,6.0,2,94
43,179319.0,2,3,4,1,6.0,5,79
18,3936.0,2,4,3,5,1.0,1,39
93,399.0,2,4,1,3,6.0,3,101
74,47673.0,1,1,2,1,1.0,1,85
87,5126.0,2,1,3,1,1.0,1,99
59,4654.0,2,1,5,1,1.0,1,101
37,15508.0,1,1,4,1,1.0,2,112
18,34738.0,1,4,2,5,1.0,1,72
32,29422.0,1,1,3,5,1.0,1,69
