AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
64.0,10629.0,2,5,1,5,2,3,43.0
37.0,33906.0,1,5,1,1,6,1,51.0
35.0,31392.0,1,2,2,5,4,7,256.0
53.0,451524.0,2,5,1,2,2,3,357.0
71.0,121998.0,1,2,2,2,4,2,105.0
45.0,386190.0,1,3,3,5,1,5,439.0
92.0,695775.0,2,1,5,2,2,5,401.0
65.0,1058647.0,1,5,5,4,4,3,196.0
52.0,168234.0,2,4,2,5,3,3,389.0
45.0,31304.0,2,1,3,5,1,5,65.0
42.0,783414.0,1,1,4,4,1,2,336.0
69.0,13496.0,1,5,4,5,1,1,69.0
49.0,9806.0,1,1,1,1,4,2,87.0
22.0,25185.0,2,5,3,5,1,3,106.0
46.0,-4956.0,1,1,4,1,1,4,56.0
68.0,-3915.0,1,1,2,5,6,1,82.0
32.0,63559.0,1,4,1,1,6,3,27.0
30.0,784303.0,2,4,1,2,2,5,66.0
53.0,127358.0,1,1,4,3,1,1,587.0
54.0,1075475.0,1,5,1,1,6,3,417.0
63.0,18448.0,2,2,1,2,2,5,72.0
79.0,839914.0,2,3,1,2,4,5,142.0
68.0,93634.0,1,1,5,2,6,1,502.0
63.0,507485.0,2,1,3,1,1,1,426.0
67.0,210125.0,2,1,1,3,6,2,35.0
44.0,25997.0,1,4,3,5,1,2,54.0
43.0,2065.0,2,1,3,5,6,1,2.0
34.0,293788.0,2,4,5,5,1,4,626.0
40.0,179780.0,1,5,1,3,2,6,74.0
63.0,30077.0,1,4,1,5,1,7,85.0
23.0,1011524.0,1,5,1,5,3,3,153.0
48.0,3574.0,1,1,2,1,1,1,408.0
45.0,744255.0,1,2,2,1,1,6,314.0
55.0,37381.0,2,4,3,5,1,1,60.0
47.0,35830.0,2,5,3,5,1,7,129.0
40.0,16559.0,1,1,2,5,1,1,142.0
46.0,813990.0,1,4,1,2,2,1,394.0
84.0,58983.0,2,2,3,1,6,6,243.0
89.0,711246.0,2,1,1,5,6,1,82.0
54.0,59610.0,2,4,4,3,3,1,171.0
62.0,966341.0,2,5,4,3,1,6,337.0
28.0,73964.0,2,1,2,5,1,1,275.0
40.0,40974.0,1,4,2,1,1,1,46.0
48.0,218118.0,1,5,1,5,1,5,554.0
81.0,99155.0,1,5,3,5,3,3,91.0
36.0,32614.0,2,3,3,5,1,5,122.0
50.0,43698.0,1,4,2,5,3,3,94.0
90.0,229503.0,1,4,1,3,2,6,209.0
55.0,1047266.0,2,5,1,1,1,3,541.0
60.0,620218.0,2,1,3,4,3,1,328.0
29.0,14075.0,2,1,4,1,1,1,38.0
78.0,689384.0,2,5,5,2,2,4,127.0
62.0,77554.0,1,1,5,3,2,2,428.0
53.0,61411.0,2,1,3,5,1,1,233.0
42.0,730954.0,2,1,1,5,4,6,457.0
38.0,8013.0,2,1,3,5,1,1,23.0
45.0,138925.0,2,3,5,1,1,2,87.0
65.0,654552.0,2,1,3,2,6,1,113.0
81.0,403254.0,2,5,3,3,3,3,98.0
53.0,168072.0,1,5,5,2,2,5,479.0
64.0,725618.0,2,2,1,5,6,5,307.0
60.0,87727.0,1,3,1,4,3,5,152.0
62.0,841274.0,2,4,2,3,3,7,351.0
64.0,184777.0,2,3,2,2,2,5,183.0
76.0,856606.0,2,2,2,3,4,3,216.0
23.0,49062.0,1,3,4,5,1,1,37.0
73.0,38111.0,1,1,3,5,1,5,234.0
36.0,21920.0,2,1,4,1,1,5,46.0
33.0,103533.0,2,4,3,3,2,2,153.0
58.0,897295.0,2,3,5,3,1,5,158.0
26.0,-4841.0,1,4,1,1,6,7,44.0
82.0,94521.0,1,3,5,1,4,5,142.0
62.0,245655.0,1,2,2,4,2,3,32.0
68.0,28152.0,1,1,1,1,6,2,108.0
20.0,869718.0,1,4,3,2,6,2,436.0
60.0,961168.0,1,1,5,5,6,1,414.0
60.0,122064.0,1,5,3,1,1,7,51.0
31.0,393404.0,2,1,5,2,1,6,582.0
32.0,72969.0,1,4,3,1,1,2,87.0
64.0,195098.0,2,4,2,1,6,3,488.0
38.0,810349.0,1,4,1,5,1,1,212.0
64.0,1009170.0,2,5,1,2,2,3,274.0
57.0,24339.0,1,2,3,5,3,2,94.0
46.0,34355.0,1,5,1,1,1,6,105.0
87.0,166129.0,2,1,5,5,6,5,121.0
77.0,260041.0,2,4,2,3,6,6,216.0
42.0,522382.0,2,1,5,3,6,6,306.0
22.0,126133.0,1,4,4,1,6,3,97.0
37.0,198535.0,2,1,3,3,1,5,492.0
46.0,561442.0,1,3,5,3,1,5,56.0
64.0,620996.0,2,5,1,2,4,3,500.0
92.0,45303.0,1,4,1,2,2,6,55.0
41.0,34305.0,1,2,3,5,4,1,45.0
73.0,1012486.0,1,5,1,5,6,1,643.0
60.0,7235.0,1,4,4,5,4,7,96.0
66.0,534270.0,1,3,2,1,2,7,256.0
31.0,-2174.0,2,2,2,5,1,1,368.0
48.0,606214.0,2,5,3,4,6,5,359.0
34.0,44390.0,1,1,1,1,1,1,183.0
43.0,72520.0,1,4,4,5,1,2,51.0
55.0,91716.0,2,5,1,1,1,3,238.0
65.0,629152.0,2,5,3,3,3,3,457.0
27.0,10957.0,2,2,3,3,6,6,34.0
28.0,431732.0,1,4,2,5,1,2,87.0
41.0,646646.0,2,5,1,3,2,6,272.0
67.0,52691.0,1,5,3,1,3,1,256.0
80.0,64293.0,1,5,2,1,1,1,614.0
59.0,43085.0,1,5,2,1,1,3,56.0
81.0,47878.0,2,4,5,1,4,4,46.0
46.0,16983.0,2,4,1,2,2,3,50.0
38.0,15986.0,2,1,3,1,1,5,400.0
41.0,773329.0,2,1,3,2,1,4,481.0
33.0,38354.0,2,4,2,1,1,5,88.0
75.0,43618.0,1,2,3,1,6,2,151.0
43.0,81904.0,1,5,5,1,2,7,100.0
58.0,1725.0,1,5,4,5,1,7,125.0
57.0,55240.0,2,5,3,1,1,3,56.0
55.0,38065.0,2,4,3,5,3,1,95.0
21.0,768469.0,2,2,1,2,3,6,473.0
93.0,846910.0,2,4,1,3,2,6,342.0
84.0,1033047.0,1,3,1,4,3,5,619.0
34.0,622402.0,1,5,3,3,1,3,581.0
41.0,17861.0,2,1,3,5,1,2,81.0
54.0,34467.0,1,1,3,5,1,7,50.0
85.0,1542.0,2,1,1,2,6,2,93.0
93.0,13836.0,2,5,1,5,4,6,108.0
35.0,988490.0,2,2,3,2,3,7,328.0
56.0,68144.0,2,1,2,3,6,2,318.0
76.0,71809.0,1,1,4,3,6,2,213.0
47.0,541001.0,1,1,5,5,1,1,305.0
69.0,165433.0,2,3,4,1,6,5,458.0
33.0,902601.0,2,4,5,1,4,2,131.0
63.0,938140.0,1,2,2,3,2,5,487.0
83.0,178022.0,2,2,1,3,3,2,122.0
93.0,-4763.0,1,3,2,1,3,2,407.0
23.0,894526.0,2,5,4,1,1,5,40.0
48.0,13673.0,2,3,4,1,6,1,117.0
30.0,72743.0,1,1,1,1,1,1,42.0
50.0,45249.0,1,3,4,1,1,5,47.0
56.0,32637.0,2,2,3,1,1,3,113.0
24.0,100585.0,2,3,3,1,1,1,125.0
38.0,61302.0,1,4,2,3,3,1,20.0
88.0,502048.0,2,1,3,1,6,2,521.0
58.0,519422.0,2,5,3,1,1,4,430.0
50.0,5073.0,2,1,1,5,4,7,81.0
71.0,267017.0,1,1,4,1,6,2,631.0
69.0,166727.0,2,1,5,1,6,2,474.0
23.0,72322.0,1,5,4,1,1,3,344.0
66.0,365182.0,1,5,5,4,2,3,67.0
76.0,959403.0,2,2,5,1,1,3,57.0
31.0,24879.0,2,1,5,1,1,1,72.0
73.0,792620.0,1,2,2,5,4,6,362.0
41.0,30424.0,1,1,2,1,1,1,64.0
37.0,62932.0,2,4,5,5,3,1,113.0
64.0,21022.0,1,4,2,3,3,2,581.0
26.0,4619.0,1,3,4,5,1,2,129.0
67.0,-114.0,2,5,1,1,6,3,50.0
82.0,748535.0,2,1,5,3,1,4,301.0
64.0,33477.0,2,2,3,3,6,5,435.0
51.0,729579.0,1,1,4,5,4,7,428.0
49.0,52501.0,1,1,5,1,2,7,43.0
72.0,91214.0,1,1,3,1,6,1,232.0
57.0,152175.0,2,3,4,1,6,5,84.0
24.0,137666.0,2,1,5,1,2,7,182.0
60.0,475034.0,2,3,4,3,6,6,423.0
78.0,147891.0,2,2,5,1,1,3,92.0
43.0,417333.0,1,4,1,4,1,2,103.0
89.0,206334.0,2,1,3,3,2,2,25.0
69.0,48840.0,2,1,2,1,6,2,150.0
59.0,697692.0,2,1,4,3,1,5,548.0
70.0,91422.0,1,3,3,3,4,1,432.0
23.0,29255.0,2,1,3,1,1,3,255.0
82.0,573.0,1,2,3,1,3,1,139.0
77.0,78629.0,2,1,3,5,6,2,88.0
84.0,205858.0,1,4,5,1,1,6,111.0
27.0,201.0,2,4,3,1,6,2,53.0
23.0,355892.0,1,5,5,4,3,1,184.0
28.0,727864.0,1,4,2,3,3,2,367.0
45.0,42269.0,1,2,1,1,6,6,410.0
47.0,72514.0,2,5,2,3,1,6,455.0
59.0,35273.0,2,1,3,1,1,2,335.0
29.0,532191.0,2,3,3,4,1,2,451.0
32.0,24698.0,1,5,2,1,1,1,222.0
77.0,242482.0,1,1,4,5,6,3,257.0
51.0,118128.0,1,1,5,5,1,7,473.0
75.0,31048.0,2,1,1,1,6,1,149.0
18.0,525795.0,1,5,4,3,1,5,16.0
55.0,81599.0,2,3,3,1,6,4,63.0
88.0,717724.0,2,2,2,1,4,2,509.0
59.0,1002943.0,2,5,1,5,1,1,154.0
35.0,45085.0,2,3,1,1,3,5,138.0
69.0,131660.0,2,1,5,1,6,4,83.0
44.0,23744.0,1,4,1,5,1,2,45.0
65.0,23938.0,1,1,4,5,1,2,39.0
21.0,167222.0,2,4,2,1,1,2,230.0
63.0,24056.0,1,5,1,1,1,6,81.0
19.0,10450.0,2,5,3,1,6,1,79.0
71.0,34559.0,1,5,3,5,1,7,122.0
49.0,39896.0,1,1,4,5,1,7,36.0
27.0,278780.0,1,4,3,3,3,1,590.0
54.0,32817.0,1,1,4,5,1,1,146.0
25.0,1016785.0,2,5,3,1,1,3,495.0
60.0,74985.0,2,1,5,1,1,2,35.0
92.0,3031.0,1,4,1,5,2,3,129.0
73.0,663118.0,2,5,1,3,6,1,23.0
60.0,185044.0,2,5,5,5,1,7,425.0
26.0,36928.0,2,4,2,1,1,7,46.0
65.0,531517.0,2,2,1,1,6,7,261.0
67.0,1048097.0,1,5,1,4,4,3,614.0
23.0,87193.0,2,4,3,5,1,7,330.0
75.0,125629.0,1,1,3,3,6,6,554.0
52.0,1011987.0,1,5,1,3,2,5,21.0
46.0,110678.0,2,5,3,3,1,1,489.0
72.0,231682.0,2,1,4,3,6,1,198.0
47.0,469039.0,1,4,1,1,2,1,209.0
52.0,1918.0,1,1,5,1,2,7,69.0
31.0,193629.0,2,4,1,3,2,2,70.0
39.0,71492.0,1,3,5,5,1,7,71.0
80.0,29791.0,1,1,3,1,6,3,174.0
31.0,294462.0,2,2,5,5,1,1,310.0
47.0,65899.0,2,1,3,1,1,5,77.0
91.0,35237.0,1,5,3,5,3,3,15.0
36.0,37968.0,2,2,2,5,4,4,117.0
85.0,990641.0,1,5,1,4,2,3,261.0
86.0,83304.0,1,1,2,4,6,4,230.0
23.0,127250.0,2,5,4,2,6,5,631.0
52.0,86556.0,1,1,3,5,4,5,57.0
53.0,362222.0,1,5,5,4,2,3,183.0
37.0,1508.0,1,2,2,1,1,6,65.0
24.0,829473.0,2,5,3,3,1,1,69.0
36.0,1076730.0,2,3,1,4,3,1,471.0
24.0,87378.0,2,5,4,5,3,3,93.0
33.0,1061289.0,1,3,1,1,4,2,179.0
79.0,640270.0,1,2,5,3,6,2,564.0
83.0,226286.0,1,4,3,2,3,6,201.0
25.0,361129.0,1,1,5,4,2,3,183.0
40.0,506142.0,2,1,2,3,4,1,324.0
91.0,84824.0,1,5,1,4,2,3,576.0
55.0,9005.0,2,4,2,1,1,5,365.0
62.0,4693.0,2,3,3,1,6,5,343.0
21.0,1031776.0,1,1,1,3,4,1,30.0
52.0,719620.0,1,3,2,4,1,3,82.0
93.0,191990.0,2,3,1,3,3,2,91.0
42.0,937453.0,1,3,5,5,1,5,453.0
28.0,33574.0,1,1,4,5,1,1,22.0
52.0,41852.0,1,1,4,1,1,7,51.0
91.0,1003125.0,2,4,1,2,2,5,490.0
42.0,863339.0,1,3,4,1,1,5,73.0
74.0,4822.0,1,4,2,1,6,3,68.0
71.0,38148.0,2,4,1,2,6,5,53.0
34.0,909182.0,2,2,3,2,3,7,443.0
49.0,6334.0,1,1,2,1,1,5,360.0
69.0,313998.0,2,1,5,5,1,2,152.0
46.0,755739.0,2,3,2,3,1,5,272.0
32.0,499785.0,2,4,3,1,6,2,88.0
92.0,1013054.0,1,3,1,5,3,2,651.0
60.0,91142.0,1,1,4,5,6,1,161.0
79.0,255966.0,2,4,4,3,4,1,51.0
20.0,111802.0,1,4,1,5,1,1,61.0
40.0,45291.0,1,4,5,4,4,1,90.0
56.0,461243.0,2,1,3,3,1,1,619.0
25.0,170993.0,1,4,4,1,1,7,2.0
91.0,350175.0,1,5,5,4,2,3,84.0
36.0,37604.0,1,2,4,5,3,1,261.0
43.0,742378.0,2,4,2,3,1,2,649.0
34.0,725.0,2,3,1,5,4,5,66.0
26.0,419232.0,1,4,5,2,3,7,400.0
35.0,597581.0,1,3,1,1,4,5,89.0
39.0,160648.0,2,2,3,3,1,6,130.0
61.0,-1629.0,2,1,4,1,6,5,348.0
38.0,301846.0,1,4,5,4,4,1,143.0
44.0,60068.0,2,1,3,1,4,2,65.0
18.0,40172.0,2,2,1,2,4,2,91.0
44.0,13593.0,1,2,2,1,4,4,200.0
54.0,497029.0,2,3,3,4,6,4,427.0
32.0,842249.0,2,4,1,5,6,5,215.0
60.0,162455.0,1,3,4,5,1,1,444.0
39.0,43710.0,1,1,3,5,1,1,22.0
63.0,164455.0,1,1,5,4,3,1,501.0
20.0,955578.0,1,1,5,1,1,5,105.0
80.0,13275.0,2,3,1,5,4,5,360.0
20.0,46070.0,2,4,1,5,1,1,40.0
26.0,603088.0,1,5,2,5,1,2,303.0
72.0,921558.0,2,1,1,5,6,5,436.0
23.0,10315.0,2,5,4,1,1,3,77.0
64.0,29874.0,2,4,3,1,6,6,117.0
94.0,418158.0,1,4,2,4,3,5,102.0
79.0,-750.0,1,1,2,1,6,5,108.0
67.0,10566.0,1,1,4,5,1,1,101.0
90.0,822712.0,1,4,1,4,2,3,49.0
47.0,284087.0,2,3,4,1,1,5,376.0
81.0,619165.0,2,3,2,2,2,5,465.0
41.0,34697.0,1,5,2,1,1,1,61.0
90.0,2532.0,1,2,5,1,1,6,418.0
32.0,57889.0,2,3,5,1,1,7,75.0
90.0,152648.0,2,2,2,2,4,2,290.0
77.0,235365.0,1,5,1,3,2,2,63.0
80.0,853463.0,2,3,3,3,4,1,208.0
26.0,686310.0,2,1,3,1,1,7,172.0
60.0,961751.0,2,1,5,5,3,1,373.0
21.0,35457.0,1,1,1,1,6,1,64.0
71.0,803573.0,2,3,2,2,2,5,460.0
19.0,84860.0,1,5,1,1,6,1,78.0
22.0,524659.0,2,5,3,1,1,7,503.0
35.0,380293.0,2,5,3,1,6,3,255.0
79.0,629949.0,2,2,3,4,6,5,88.0
42.0,66720.0,1,3,3,1,2,7,156.0
53.0,251369.0,1,4,2,4,3,1,573.0
59.0,1010799.0,2,5,2,1,1,7,118.0
35.0,31958.0,2,3,1,2,4,5,49.0
58.0,90366.0,2,5,4,1,1,1,331.0
65.0,271614.0,2,5,5,1,4,3,375.0
41.0,75405.0,2,2,2,1,1,2,247.0
46.0,272438.0,2,3,4,1,1,5,12.0
49.0,62433.0,2,1,3,1,1,2,601.0
87.0,1048838.0,2,1,5,1,6,1,275.0
63.0,20089.0,1,4,1,1,1,7,34.0
90.0,190529.0,1,2,2,5,4,6,425.0
56.0,35316.0,2,1,1,1,1,5,121.0
54.0,401239.0,2,3,4,4,6,5,533.0
21.0,44146.0,2,4,1,1,6,1,38.0
50.0,156032.0,2,1,4,2,4,5,459.0
86.0,18053.0,1,2,2,4,4,2,93.0
