AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
41.0,190000.0,1.0,1.0,4.0,5.0,1.0,1.0,53.0
53.0,0.0,2.0,1.0,2.0,1.0,6.0,1.0,58.0
20.0,0.0,2.0,1.0,3.0,5.0,6.0,1.0,69.0
33.0,50000.0,2.0,1.0,3.0,1.0,1.0,1.0,61.0
34.0,48000.0,2.0,4.0,1.0,1.0,1.0,3.0,207.0
31.0,75000.0,1.0,1.0,5.0,1.0,1.0,1.0,59.0
24.0,35000.0,2.0,5.0,3.0,5.0,1.0,1.0,97.0
32.0,60000.0,1.0,1.0,2.0,5.0,1.0,1.0,70.0
50.0,50000.0,1.0,5.0,2.0,1.0,6.0,1.0,160.0
66.0,0.0,2.0,1.0,5.0,3.0,6.0,2.0,54.0
26.0,20000.0,1.0,1.0,4.0,5.0,1.0,1.0,79.0
34.0,130000.0,1.0,3.0,5.0,1.0,1.0,2.0,70.0
64.0,110000.0,2.0,1.0,5.0,1.0,1.0,2.0,67.0
68.0,23000.0,1.0,1.0,3.0,1.0,6.0,2.0,57.0
66.0,136300.0,1.0,1.0,5.0,1.0,1.0,1.0,87.0
45.0,180000.0,1.0,1.0,4.0,1.0,1.0,7.0,58.0
18.0,14000.0,1.0,1.0,1.0,5.0,6.0,1.0,92.0
74.0,172000.0,2.0,5.0,3.0,1.0,1.0,2.0,60.0
28.0,0.0,1.0,1.0,2.0,1.0,6.0,1.0,48.0
37.0,45000.0,1.0,1.0,3.0,1.0,1.0,1.0,76.0
30.0,100000.0,2.0,4.0,4.0,5.0,1.0,1.0,204.0
30.0,130000.0,2.0,5.0,3.0,5.0,1.0,1.0,55.0
19.0,0.0,2.0,3.0,2.0,5.0,6.0,1.0,56.0
19.0,0.0,2.0,5.0,2.0,5.0,6.0,1.0,25.0
56.0,110000.0,2.0,1.0,4.0,1.0,1.0,2.0,59.0
36.0,65000.0,2.0,4.0,2.0,1.0,1.0,3.0,232.0
53.0,0.0,2.0,1.0,2.0,1.0,6.0,1.0,68.0
67.0,46700.0,2.0,1.0,3.0,3.0,1.0,1.0,47.0
34.0,60000.0,1.0,4.0,2.0,1.0,1.0,1.0,178.0
35.0,60000.0,2.0,1.0,3.0,5.0,1.0,1.0,206.0
49.0,60000.0,2.0,1.0,5.0,1.0,1.0,1.0,79.0
24.0,0.0,2.0,1.0,3.0,5.0,6.0,2.0,195.0
69.0,0.0,2.0,4.0,2.0,1.0,6.0,3.0,51.0
44.0,0.0,1.0,4.0,3.0,1.0,6.0,1.0,83.0
39.0,80000.0,1.0,1.0,2.0,1.0,1.0,1.0,78.0
20.0,5000.0,1.0,1.0,3.0,5.0,1.0,1.0,166.0
60.0,100000.0,2.0,5.0,5.0,1.0,1.0,2.0,48.0
71.0,22000.0,1.0,1.0,3.0,1.0,6.0,2.0,71.0
25.0,32000.0,1.0,4.0,3.0,5.0,6.0,1.0,8.0
77.0,0.0,2.0,1.0,3.0,1.0,6.0,1.0,41.0
75.0,82100.0,1.0,1.0,5.0,1.0,6.0,2.0,119.0
61.0,380000.0,1.0,5.0,5.0,4.0,1.0,1.0,99.0
61.0,110000.0,2.0,1.0,4.0,1.0,1.0,2.0,102.0
38.0,45000.0,1.0,1.0,2.0,5.0,1.0,1.0,127.0
43.0,90000.0,2.0,5.0,3.0,1.0,1.0,1.0,43.0
83.0,9600.0,2.0,1.0,3.0,2.0,6.0,2.0,102.0
47.0,40000.0,1.0,5.0,1.0,1.0,1.0,3.0,45.0
34.0,45000.0,2.0,1.0,5.0,1.0,1.0,2.0,59.0
45.0,25000.0,2.0,1.0,3.0,1.0,1.0,2.0,120.0
