AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
46,230000.0,2,4,3,5,6.0,1,105
36,307200.0,2,1,2,4,6.0,1,62
81,362000.0,2,1,2,1,1.0,3,57
50,0.0,1,4,2,1,1.0,1,136
37,10000.0,1,1,2,1,1.0,5,213
41,140000.0,2,5,5,3,6.0,1,54
53,200000.0,2,1,5,3,6.0,1,62
20,60600.0,1,1,1,1,1.0,1,75
72,70800.0,1,3,5,5,1.0,3,78
32,0.0,1,1,2,1,1.0,1,143
72,95000.0,2,1,5,1,1.0,1,62
34,48000.0,2,5,5,5,1.0,3,38
18,38000.0,2,3,5,5,2.0,1,50
61,0.0,1,4,5,1,6.0,5,120
48,95000.0,2,1,4,1,6.0,1,66
43,44500.0,1,3,5,3,6.0,1,175
60,24000.0,2,1,5,1,6.0,3,82
47,180000.0,1,1,5,1,1.0,5,26
36,168000.0,1,1,5,1,1.0,2,51
46,70050.0,1,1,4,1,6.0,1,198
24,31900.0,2,4,3,2,1.0,3,32
52,18700.0,1,1,5,1,1.0,3,20
36,45000.0,1,2,5,5,6.0,3,169
30,98000.0,2,3,5,1,6.0,2,233
22,240600.0,2,1,3,1,1.0,3,71
58,26500.0,1,1,1,3,3.0,1,55
33,350000.0,2,4,2,1,1.0,5,79
57,88000.0,1,3,1,5,6.0,2,57
34,0.0,2,1,1,2,1.0,5,57
57,20000.0,1,4,1,1,1.0,1,85
88,13000.0,2,3,4,1,1.0,2,57
80,5000.0,2,1,5,1,1.0,5,57
61,8000.0,2,5,2,3,6.0,1,115
32,0.0,1,3,4,5,6.0,2,75
44,16200.0,1,1,4,5,1.0,1,116
39,30000.0,2,1,4,1,6.0,5,53
71,44400.0,1,5,5,5,6.0,2,157
83,10000.0,2,4,3,2,6.0,1,61
40,3500.0,1,5,4,1,1.0,1,124
75,38200.0,2,1,3,5,6.0,2,172
72,50000.0,1,3,5,5,1.0,1,84
41,45000.0,2,1,4,5,6.0,1,73
43,4000.0,1,4,4,1,6.0,1,45
32,2540.0,1,1,5,1,6.0,1,82
34,30000.0,2,1,4,1,1.0,4,66
65,40000.0,1,3,4,5,1.0,2,131
50,0.0,1,5,1,2,1.0,2,183
24,0.0,1,1,3,1,1.0,1,72
89,19800.0,2,5,2,1,1.0,5,35
30,13000.0,2,1,1,5,1.0,1,195
41,7200.0,2,3,2,5,1.0,3,60
36,130000.0,1,3,5,5,6.0,3,65
41,0.0,1,3,2,5,1.0,1,59
57,75000.0,2,5,3,1,1.0,2,126
29,32000.0,1,4,4,5,6.0,1,64
77,129600.0,1,3,4,1,6.0,1,52
30,15000.0,1,1,5,1,6.0,1,66
39,0.0,2,3,5,1,1.0,1,78
62,12000.0,1,1,1,5,1.0,1,45
72,0.0,2,1,3,5,1.0,1,221
43,45000.0,2,4,1,2,1.0,2,426
66,38000.0,2,1,5,1,1.0,5,96
45,56500.0,1,4,1,3,6.0,5,176
63,213300.0,2,1,4,5,6.0,2,54
40,200000.0,2,1,3,2,2.0,1,111
61,15000.0,2,4,3,5,1.0,2,66
59,200000.0,2,3,2,1,6.0,1,74
20,15000.0,1,5,5,1,1.0,5,52
32,10000.0,2,3,4,1,1.0,1,55
31,0.0,1,1,3,3,1.0,1,58
44,17800.0,2,1,1,2,6.0,1,56
44,40300.0,1,4,4,1,1.0,1,87
30,13800.0,2,4,3,5,1.0,1,63
53,44000.0,2,3,4,1,1.0,5,62
54,42000.0,1,5,1,5,1.0,1,285
62,64000.0,1,1,5,1,1.0,2,94
53,46000.0,2,1,4,1,1.0,1,73
40,110500.0,2,1,3,3,1.0,1,169
64,0.0,2,5,1,1,1.0,1,84
33,68000.0,2,4,4,1,4.0,2,88
45,30000.0,1,4,4,3,1.0,1,56
62,16300.0,1,3,2,1,1.0,1,203
94,40000.0,1,1,3,5,1.0,1,52
67,20000.0,1,1,2,3,1.0,1,178
68,13800.0,2,5,2,1,1.0,1,51
59,92000.0,2,1,3,1,1.0,1,100
76,42000.0,1,3,3,2,6.0,1,184
53,0.0,1,1,1,5,6.0,7,62
57,17400.0,2,4,4,5,6.0,1,69
41,102100.0,1,4,2,1,1.0,1,75
85,12000.0,2,1,3,3,6.0,1,93
51,40000.0,2,3,5,5,1.0,5,156
45,72000.0,2,4,3,1,6.0,1,107
19,35000.0,1,3,1,2,1.0,1,124
22,73500.0,1,3,1,1,6.0,1,87
34,70900.0,1,3,4,1,1.0,1,78
33,175000.0,2,1,2,1,1.0,3,67
53,32000.0,1,2,4,2,1.0,2,306
29,530000.0,2,5,5,1,1.0,1,57
32,36000.0,1,1,1,3,1.0,6,92
38,20300.0,2,1,5,3,1.0,2,82
23,110000.0,2,3,1,5,6.0,6,299
53,260000.0,2,1,2,1,1.0,1,90
40,14500.0,2,1,5,5,6.0,5,91
40,58000.0,2,4,3,5,6.0,1,262
21,33900.0,1,4,4,5,1.0,3,60
30,2100.0,2,5,4,1,6.0,1,44
56,33700.0,2,1,2,5,1.0,3,82
40,120000.0,1,4,5,5,1.0,2,50
67,56000.0,2,1,1,1,6.0,7,37
74,166000.0,1,1,5,5,6.0,5,75
25,10000.0,2,5,2,5,1.0,1,169
21,0.0,2,5,1,1,1.0,2,58
26,98000.0,2,5,4,5,1.0,5,143
51,90000.0,1,4,5,1,1.0,6,47
19,-2900.0,2,3,4,5,6.0,1,20
66,0.0,2,1,3,1,1.0,4,66
78,25000.0,2,1,4,2,6.0,1,38
45,10000.0,1,1,4,1,6.0,2,53
68,8500.0,2,1,2,1,6.0,3,24
74,27800.0,1,5,4,5,1.0,2,111
33,197500.0,1,1,5,1,1.0,2,60
19,120500.0,2,3,4,2,1.0,2,79
41,0.0,1,1,4,5,1.0,1,58
24,26800.0,1,3,2,1,1.0,2,60
25,3200.0,1,1,4,2,1.0,2,93
19,80000.0,1,4,2,1,6.0,1,387
75,30000.0,1,4,4,5,1.0,1,67
37,97000.0,1,1,4,3,6.0,3,68
71,65000.0,1,1,3,2,6.0,1,66
56,50800.0,2,3,4,5,1.0,2,131
46,135000.0,2,1,3,1,1.0,3,62
45,37700.0,1,5,2,5,1.0,5,36
85,133000.0,2,5,4,1,6.0,1,60
90,95000.0,1,5,3,1,1.0,5,194
20,149700.0,2,3,4,1,6.0,1,77
26,10000.0,1,1,3,1,6.0,1,151
77,25000.0,1,3,5,1,6.0,3,38
62,678000.0,1,1,2,1,1.0,1,75
26,19900.0,1,1,2,5,1.0,1,90
37,8000.0,2,1,1,5,1.0,3,240
48,14500.0,2,1,2,1,6.0,1,70
70,3500.0,1,4,2,5,1.0,2,40
70,60000.0,1,3,5,1,6.0,1,59
47,10000.0,2,5,2,5,2.0,5,54
48,45000.0,2,1,5,1,1.0,2,198
57,15700.0,2,5,3,2,6.0,3,42
54,10300.0,2,5,3,1,6.0,2,60
57,55000.0,2,5,3,5,6.0,2,42
29,7000.0,2,1,2,5,1.0,1,83
25,4000.0,1,3,2,5,1.0,1,37
45,140000.0,1,5,4,5,6.0,2,253
75,52500.0,1,5,2,5,1.0,1,115
56,0.0,2,1,2,1,6.0,1,91
33,140600.0,1,1,4,5,1.0,1,102
62,155000.0,1,1,2,5,1.0,1,114
75,340000.0,2,3,4,1,1.0,5,57
41,80700.0,1,1,2,5,6.0,2,148
21,104100.0,2,3,3,3,1.0,2,124
56,4180.0,1,1,2,5,1.0,1,176
28,30000.0,2,5,1,1,1.0,5,77
55,148600.0,1,4,3,1,6.0,3,34
32,20000.0,2,5,3,3,1.0,2,144
59,220000.0,1,4,3,5,1.0,1,34
94,0.0,2,5,3,5,1.0,3,69
38,80000.0,1,1,3,2,6.0,5,107
62,384000.0,1,1,2,5,1.0,1,61
31,47500.0,2,1,4,1,6.0,1,55
39,14400.0,2,1,4,5,6.0,1,75
34,46300.0,2,1,3,1,1.0,1,103
19,104000.0,2,5,4,1,6.0,1,397
63,135000.0,1,1,3,2,6.0,1,76
69,47800.0,1,2,4,5,1.0,1,104
31,2000.0,1,1,5,1,1.0,2,268
25,47500.0,2,5,3,5,1.0,6,35
74,10400.0,2,1,4,5,1.0,1,52
45,27000.0,2,1,4,4,1.0,5,93
31,0.0,2,4,4,5,1.0,1,64
68,4800.0,1,5,4,1,1.0,3,28
80,202000.0,2,1,3,1,6.0,5,62
43,0.0,2,3,1,1,6.0,4,60
22,39000.0,2,5,4,3,6.0,1,69
29,5000.0,2,1,3,5,1.0,1,236
31,32400.0,2,1,5,5,1.0,3,113
54,0.0,2,3,3,5,3.0,3,59
42,44000.0,1,1,3,1,1.0,1,140
85,25100.0,1,1,3,1,1.0,2,137
19,15110.0,1,1,3,5,1.0,1,58
31,0.0,1,1,5,2,1.0,1,5
65,55000.0,2,1,4,1,6.0,1,51
23,78400.0,2,4,3,5,1.0,2,69
44,70640.0,2,1,5,5,1.0,1,197
19,28800.0,2,4,4,1,3.0,3,155
29,8000.0,2,1,1,2,6.0,1,41
28,0.0,2,4,5,1,1.0,6,80
37,84000.0,1,5,3,5,1.0,2,49
57,0.0,2,5,2,1,6.0,1,77
21,20600.0,1,1,2,4,1.0,3,274
38,189000.0,1,4,3,3,1.0,2,52
52,30000.0,1,5,2,3,1.0,5,44
54,114000.0,2,1,3,1,1.0,5,3
21,72000.0,1,3,2,1,1.0,3,63
49,80000.0,1,3,4,1,6.0,3,56
30,305000.0,1,3,3,3,6.0,2,220
61,13800.0,2,1,3,1,1.0,1,66
68,13100.0,2,4,3,4,6.0,4,86
83,37800.0,2,3,5,5,6.0,2,40
32,105000.0,2,1,1,5,1.0,2,58
55,79010.0,2,4,3,5,1.0,3,30
65,136000.0,1,1,3,1,1.0,5,37
55,62400.0,2,3,2,5,1.0,1,26
74,60000.0,2,3,2,5,1.0,1,34
65,135000.0,1,1,3,1,1.0,1,19
19,158000.0,1,1,2,5,1.0,2,33
65,100000.0,1,4,4,5,1.0,1,138
30,140500.0,2,3,5,5,1.0,1,76
65,180000.0,2,5,4,4,1.0,1,65
69,0.0,2,3,2,1,1.0,1,109
68,72000.0,1,1,3,2,6.0,1,52
62,30000.0,2,5,5,1,1.0,1,70
55,180000.0,1,2,3,5,6.0,1,249
29,169700.0,1,4,1,5,1.0,2,69
38,10000.0,1,4,3,5,6.0,2,54
31,0.0,2,4,3,1,1.0,2,76
67,25000.0,2,1,4,5,1.0,3,69
76,20000.0,2,1,5,5,1.0,3,65
80,155000.0,1,1,4,1,6.0,1,53
69,100000.0,2,2,1,1,4.0,6,88
56,71000.0,2,1,3,2,1.0,5,8
30,678000.0,1,3,5,1,1.0,2,112
41,30000.0,2,1,3,1,1.0,5,66
24,28800.0,2,1,4,4,1.0,1,40
60,450000.0,2,5,2,3,1.0,3,110
38,0.0,2,1,3,1,6.0,5,364
75,7700.0,2,5,2,1,6.0,1,82
62,47000.0,1,1,4,1,1.0,3,59
42,98000.0,1,3,4,5,1.0,1,113
38,0.0,2,1,4,1,1.0,3,67
30,47000.0,2,1,5,1,6.0,2,52
59,129000.0,2,1,5,1,1.0,3,52
83,123400.0,2,5,2,5,1.0,1,73
29,130000.0,2,1,4,1,1.0,3,134
19,30000.0,1,1,1,5,1.0,2,97
