AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
41,3000.0,1,5,1,1,6.0,1,83
40,14000.0,1,1,2,5,3.0,2,366
56,45600.0,1,5,2,1,1.0,3,48
65,152000.0,1,1,4,1,1.0,1,130
65,13500.0,2,1,2,1,1.0,5,33
53,119000.0,1,5,5,1,1.0,1,73
70,116600.0,2,4,3,3,1.0,3,162
63,31000.0,1,4,1,1,6.0,3,47
57,100000.0,2,5,3,1,1.0,1,60
26,40000.0,2,3,3,1,1.0,5,66
48,650.0,2,1,4,1,6.0,1,93
31,59000.0,1,4,3,5,1.0,1,44
40,138000.0,1,1,3,1,1.0,1,58
52,0.0,2,2,3,1,6.0,1,103
41,0.0,1,2,1,5,6.0,1,223
34,0.0,2,5,4,5,6.0,1,60
68,475800.0,1,1,5,1,1.0,4,52
52,0.0,1,5,1,1,6.0,6,109
25,15200.0,2,1,3,5,1.0,1,190
28,38000.0,1,4,2,5,1.0,3,90
77,9600.0,2,4,2,1,6.0,5,46
68,8400.0,1,2,4,1,6.0,7,46
30,45200.0,2,4,3,5,1.0,1,54
19,0.0,1,2,3,5,6.0,1,103
50,30000.0,1,4,1,1,1.0,3,217
58,19700.0,2,3,3,5,1.0,5,46
19,0.0,2,1,3,5,6.0,2,37
54,47000.0,1,3,4,1,6.0,5,61
26,0.0,2,5,3,5,6.0,1,70
42,60000.0,1,3,2,1,1.0,5,115
78,3900.0,2,1,3,1,6.0,1,105
57,20600.0,1,1,3,5,1.0,2,55
84,58700.0,1,2,4,2,6.0,1,54
24,22400.0,1,5,1,5,1.0,3,82
35,3000.0,2,1,2,5,1.0,1,86
65,1540.0,2,3,2,1,6.0,5,250
33,110000.0,1,3,4,1,1.0,5,84
32,30000.0,2,1,3,5,1.0,7,76
55,51000.0,2,5,2,3,1.0,1,46
54,44200.0,1,5,1,1,1.0,3,65
94,42200.0,1,3,2,2,6.0,5,43
75,61000.0,1,1,2,1,6.0,1,63
63,12600.0,1,5,5,1,6.0,3,53
76,11000.0,2,1,3,1,6.0,1,63
30,70000.0,2,4,5,1,1.0,1,51
60,207000.0,2,2,5,1,1.0,2,59
33,260000.0,1,3,5,1,1.0,5,75
68,70000.0,2,1,5,1,6.0,2,66
46,19300.0,1,1,2,1,4.0,1,147
40,40000.0,1,5,3,1,1.0,3,95
48,171000.0,2,3,4,1,1.0,1,61
79,237000.0,1,3,5,1,1.0,7,59
55,95000.0,2,2,3,1,1.0,2,59
23,50000.0,2,4,3,5,1.0,1,141
65,20100.0,2,1,2,3,6.0,1,58
29,29000.0,1,5,2,5,1.0,1,77
51,70000.0,1,2,2,1,1.0,1,84
67,36000.0,1,1,1,3,6.0,1,35
33,74000.0,1,4,3,1,1.0,2,75
49,68000.0,2,1,4,3,1.0,1,207
52,0.0,2,4,2,1,6.0,3,285
62,7500.0,2,1,2,2,1.0,2,89
88,101000.0,2,1,3,3,6.0,2,7
31,117500.0,1,1,4,5,1.0,1,72
62,69000.0,1,4,3,1,1.0,1,87
59,26500.0,2,4,1,1,1.0,3,167
25,1000.0,1,5,1,5,6.0,1,25
28,29700.0,1,4,2,1,1.0,3,228
57,5000.0,2,1,4,1,6.0,1,69
47,45000.0,1,4,2,1,1.0,6,97
24,41400.0,2,1,4,5,1.0,1,87
79,128000.0,1,1,4,1,6.0,2,122
71,32400.0,2,3,3,1,6.0,5,68
23,38000.0,1,4,2,5,1.0,1,45
76,11000.0,1,3,1,1,6.0,5,32
46,54000.0,2,5,2,1,1.0,6,49
32,0.0,1,2,1,5,6.0,1,145
20,0.0,2,5,3,5,6.0,1,67
55,95000.0,1,4,1,1,1.0,3,48
73,60000.0,2,5,3,3,6.0,3,78
39,20000.0,1,3,3,5,1.0,6,29
77,10600.0,1,1,3,1,6.0,1,27
83,22100.0,2,1,2,2,6.0,1,54
76,20000.0,2,1,3,2,6.0,2,82
32,100000.0,1,3,4,1,1.0,5,70
80,129600.0,1,2,4,1,6.0,2,54
50,65000.0,1,5,5,5,1.0,2,185
94,0.0,2,1,2,2,6.0,2,32
34,21000.0,2,1,3,5,1.0,1,88
25,1000.0,1,4,1,5,1.0,1,57
