AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
82,48447.0,1,1,1,5,6.0,1,62
18,138953.0,2,4,3,1,6.0,1,106
18,145743.0,2,4,4,1,1.0,1,1
67,-6900.0,1,3,5,5,1.0,1,28
40,171576.0,1,4,2,3,1.0,1,141
44,-6900.0,2,4,2,1,1.0,1,16
37,6380.0,2,5,2,1,1.0,1,19
63,14747.0,1,5,3,2,1.0,2,14
18,-6900.0,1,5,2,1,1.0,7,124
37,-6900.0,2,5,4,5,1.0,1,14
72,1939.0,2,2,1,5,6.0,1,43
53,-627.0,1,1,2,5,6.0,1,200
71,24212.0,1,2,1,5,6.0,1,56
18,-1974.0,1,1,3,1,3.0,1,33
79,-6900.0,2,5,4,5,3.0,1,16
51,-6900.0,1,4,2,1,6.0,6,75
46,-6900.0,2,4,1,1,1.0,1,143
56,4732.0,2,1,4,4,1.0,2,138
22,12560.0,2,4,5,4,1.0,1,12
30,1570.0,2,4,1,1,6.0,2,91
83,-500.0,1,1,3,5,1.0,5,28
20,95156.0,2,1,2,5,1.0,1,279
74,258878.0,2,5,2,5,6.0,1,45
42,2362.0,1,2,5,5,1.0,3,137
18,-6900.0,2,5,5,1,1.0,4,1
89,-6900.0,2,1,2,5,6.0,2,61
94,-4774.0,2,5,1,5,2.0,1,38
18,-6900.0,2,4,5,1,1.0,1,20
35,42084.0,2,5,5,1,1.0,1,17
18,31705.0,2,4,1,1,1.0,1,1
28,-6900.0,1,4,2,3,6.0,1,45
18,-6900.0,2,1,5,5,3.0,1,26
71,-6900.0,2,1,3,1,1.0,1,70
31,-1044.0,1,3,5,1,1.0,1,55
39,-6900.0,2,1,3,1,1.0,1,63
42,-457.0,1,4,1,1,1.0,1,46
94,67646.0,2,1,5,1,6.0,2,37
58,6412.0,1,2,5,5,1.0,5,44
34,25286.0,2,5,1,1,1.0,1,1
72,105717.0,2,1,3,5,1.0,1,437
18,-6900.0,2,1,1,4,1.0,2,117
77,16899.0,2,1,3,1,6.0,3,55
85,-2503.0,1,4,1,2,6.0,1,54
18,-6869.0,2,3,5,5,1.0,2,28
94,-6900.0,2,5,4,5,1.0,1,48
25,54472.0,2,4,2,5,6.0,4,67
30,90588.0,2,2,2,1,1.0,1,76
87,3592.0,2,4,2,5,1.0,1,40
18,-140.0,2,1,1,5,1.0,3,29
84,4672.0,2,1,5,1,1.0,2,51
91,-6900.0,1,1,4,1,1.0,1,51
94,6829.0,2,4,2,2,6.0,2,46
27,-5820.0,2,4,5,1,6.0,1,463
39,79156.0,2,4,2,1,6.0,1,149
18,-6900.0,1,4,2,1,6.0,6,88
67,-6900.0,2,4,1,3,1.0,7,1
44,22239.0,2,1,3,5,1.0,1,1
94,-6900.0,2,3,4,1,1.0,3,1
39,24119.0,2,1,4,1,1.0,1,22
31,52552.0,2,1,4,1,6.0,1,20
36,-6900.0,1,4,1,2,1.0,6,40
90,-6900.0,1,1,3,1,1.0,1,52
23,104725.0,1,2,1,1,6.0,2,59
68,-6900.0,2,2,1,2,2.0,3,75
18,4.0,1,4,3,3,6.0,3,33
74,95800.0,1,4,3,3,1.0,3,59
90,48662.0,2,4,2,1,1.0,1,37
36,-6900.0,1,4,1,2,1.0,1,222
86,-6900.0,1,4,4,1,6.0,1,44
94,55402.0,1,1,4,5,6.0,5,84
59,11743.0,1,2,3,5,1.0,7,37
81,415.0,2,1,1,5,1.0,5,23
49,-6900.0,2,1,3,1,2.0,1,16
72,180424.0,1,5,4,1,6.0,4,1
43,9924.0,1,1,3,2,6.0,6,42
23,-6900.0,2,1,2,5,3.0,1,1
29,36980.0,1,3,1,2,1.0,5,100
58,-5282.0,2,3,5,5,1.0,1,30
23,-5358.0,1,3,2,1,1.0,3,35
56,2804.0,2,1,1,5,1.0,5,33
36,239280.0,1,4,1,2,1.0,2,92
87,16160.0,2,4,4,1,1.0,6,33
20,95699.0,2,3,3,5,1.0,1,56
28,8000.0,2,1,2,1,4.0,6,49
42,-6900.0,1,4,3,3,1.0,3,20
94,25241.0,2,1,1,5,2.0,3,52
55,-2736.0,2,4,1,5,1.0,7,45
