AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
55.0,316652.0,1,2,2,3,3,2,142.0
86.0,971339.0,1,4,2,4,1,3,118.0
80.0,709705.0,2,3,2,5,3,1,483.0
76.0,569915.0,1,2,4,5,1,7,534.0
85.0,69151.0,2,4,3,3,1,5,69.0
85.0,60031.0,2,3,3,4,1,5,219.0
86.0,17981.0,1,4,2,1,6,7,191.0
75.0,903644.0,1,3,5,2,6,5,329.0
65.0,559335.0,2,4,1,1,1,3,329.0
18.0,744058.0,1,2,5,1,3,1,355.0
38.0,17329.0,1,2,4,1,6,7,82.0
69.0,1029238.0,1,5,5,3,1,2,276.0
71.0,887175.0,2,4,3,3,3,1,631.0
42.0,82705.0,2,5,4,1,1,1,51.0
47.0,52858.0,1,2,1,1,6,2,606.0
58.0,69642.0,1,5,1,1,6,1,148.0
76.0,185879.0,2,1,1,4,6,2,535.0
54.0,426669.0,1,2,2,1,2,1,368.0
89.0,323196.0,1,3,2,2,2,5,636.0
33.0,188430.0,1,1,5,5,6,6,568.0
51.0,568600.0,1,3,5,2,4,7,438.0
62.0,63803.0,1,3,3,3,6,2,324.0
34.0,183234.0,2,2,3,5,1,1,440.0
22.0,221090.0,2,3,5,1,2,5,391.0
94.0,408856.0,1,5,5,5,1,1,646.0
53.0,803334.0,2,1,1,1,1,2,624.0
22.0,66986.0,1,1,4,5,1,1,70.0
64.0,429601.0,1,5,2,2,6,4,285.0
93.0,547131.0,1,2,1,4,6,2,233.0
39.0,17729.0,1,4,5,4,1,3,56.0
40.0,565407.0,2,1,5,3,4,1,550.0
93.0,80883.0,1,1,2,4,1,3,395.0
39.0,18741.0,1,1,1,1,1,1,8.0
79.0,1004225.0,1,5,4,4,2,1,440.0
76.0,1061604.0,1,4,3,2,2,3,155.0
43.0,812204.0,1,1,5,3,3,1,650.0
93.0,196836.0,1,1,5,5,6,1,78.0
74.0,5118.0,1,4,4,1,6,1,65.0
82.0,661940.0,2,5,1,3,3,2,53.0
85.0,363246.0,1,1,4,1,3,2,535.0
21.0,45367.0,1,3,3,5,6,1,37.0
33.0,442484.0,2,2,5,1,6,1,573.0
38.0,21389.0,2,3,5,1,6,5,523.0
27.0,952465.0,1,2,1,4,6,2,234.0
91.0,103971.0,1,5,3,3,1,1,534.0
38.0,598141.0,1,3,2,3,3,2,98.0
56.0,217492.0,1,4,5,1,4,1,401.0
30.0,465510.0,2,5,4,5,4,1,17.0
32.0,519960.0,1,4,1,4,3,1,482.0
35.0,53092.0,2,3,4,5,1,7,331.0
42.0,1055910.0,2,4,1,2,6,3,118.0
83.0,761994.0,2,4,2,4,1,1,3.0
65.0,1019023.0,2,4,1,5,1,6,649.0
71.0,935708.0,2,3,1,3,6,2,355.0
81.0,559820.0,2,2,3,3,3,5,366.0
93.0,1010959.0,2,2,5,2,6,6,158.0
38.0,31946.0,2,1,3,5,6,4,473.0
70.0,53135.0,1,1,2,3,2,2,363.0
57.0,15562.0,1,4,4,4,6,1,273.0
69.0,260099.0,2,1,3,1,6,2,192.0
71.0,309461.0,1,5,2,1,3,3,275.0
70.0,187596.0,1,4,3,3,1,5,345.0
35.0,847871.0,2,2,1,2,1,5,312.0
