AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
63.0,17600.0,2.0,5.0,2.0,1.0,6.0,3.0,175.0
55.0,161000.0,1.0,1.0,4.0,1.0,1.0,1.0,100.0
63.0,0.0,2.0,1.0,1.0,1.0,6.0,1.0,68.0
38.0,22000.0,1.0,3.0,4.0,5.0,1.0,5.0,295.0
50.0,100000.0,1.0,5.0,3.0,1.0,1.0,1.0,125.0
36.0,75000.0,2.0,1.0,4.0,1.0,1.0,1.0,56.0
24.0,0.0,2.0,1.0,4.0,5.0,6.0,1.0,78.0
37.0,230000.0,1.0,3.0,5.0,1.0,1.0,5.0,74.0
19.0,0.0,1.0,1.0,2.0,5.0,6.0,1.0,67.0
29.0,20000.0,2.0,1.0,5.0,5.0,1.0,1.0,67.0
60.0,0.0,2.0,5.0,2.0,1.0,6.0,6.0,62.0
68.0,66500.0,2.0,1.0,2.0,1.0,1.0,1.0,94.0
49.0,60000.0,2.0,1.0,3.0,1.0,1.0,1.0,253.0
37.0,0.0,1.0,4.0,1.0,1.0,6.0,3.0,90.0
24.0,20000.0,2.0,1.0,4.0,5.0,1.0,1.0,14.0
23.0,30000.0,2.0,1.0,5.0,5.0,1.0,1.0,117.0
21.0,10200.0,2.0,1.0,2.0,5.0,6.0,1.0,155.0
28.0,40000.0,1.0,1.0,3.0,5.0,1.0,1.0,176.0
65.0,64000.0,1.0,1.0,3.0,5.0,1.0,1.0,70.0
77.0,10200.0,1.0,1.0,3.0,1.0,6.0,1.0,62.0
19.0,0.0,1.0,1.0,4.0,5.0,6.0,1.0,86.0
36.0,2000.0,2.0,4.0,2.0,5.0,1.0,1.0,184.0
58.0,140000.0,1.0,1.0,2.0,3.0,1.0,2.0,55.0
55.0,60000.0,1.0,3.0,4.0,1.0,1.0,6.0,51.0
45.0,60000.0,2.0,1.0,3.0,5.0,1.0,2.0,40.0
