AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
18,146113.0,2,1,2,1,6.0,5,324
30,47458.0,1,3,3,1,6.0,1,127
79,25961.0,1,3,3,5,1.0,1,85
18,503194.0,1,3,2,1,6.0,3,103
44,28079.0,2,3,4,1,1.0,2,365
29,-2519.0,1,1,4,5,1.0,1,477
18,290316.0,1,1,4,1,6.0,4,73
24,487028.0,1,1,3,1,3.0,1,37
24,130067.0,2,1,2,5,4.0,5,88
52,227189.0,2,1,3,5,6.0,1,112
18,144558.0,1,3,4,1,6.0,1,99
34,337076.0,1,3,3,1,1.0,1,85
57,49526.0,2,3,3,1,1.0,2,123
21,13600.0,2,3,2,5,6.0,3,164
20,7543.0,2,1,5,1,1.0,3,88
18,4165.0,2,5,2,1,1.0,1,180
30,48806.0,1,1,3,1,1.0,1,282
31,162880.0,2,1,2,5,1.0,1,118
18,20762.0,2,1,3,1,1.0,2,191
20,235685.0,2,1,4,5,6.0,5,125
40,52952.0,1,3,4,5,1.0,3,62
37,15566.0,2,2,4,3,6.0,4,89
31,36998.0,2,5,5,1,6.0,5,88
44,115400.0,1,4,2,1,1.0,1,57
18,40491.0,2,1,3,1,6.0,1,118
34,-1126.0,1,4,3,1,1.0,1,77
50,34572.0,1,4,5,1,6.0,1,98
28,10846.0,1,1,3,1,6.0,5,271
75,574915.0,1,3,2,1,1.0,1,78
31,34723.0,1,1,2,1,6.0,3,71
53,407946.0,2,4,5,5,1.0,3,60
19,217710.0,1,1,2,3,1.0,1,50
18,341267.0,2,3,1,1,1.0,5,91
31,372450.0,1,4,3,1,6.0,5,37
50,42413.0,2,3,5,5,6.0,3,297
54,-2900.0,2,3,2,1,2.0,2,129
18,67892.0,1,1,5,2,1.0,1,102
25,54934.0,1,3,2,1,1.0,3,52
26,486318.0,2,1,2,1,6.0,5,22
62,230932.0,2,2,1,5,1.0,1,98
44,310321.0,1,1,1,3,1.0,5,78
19,391737.0,1,1,1,1,1.0,1,125
19,250650.0,2,4,5,5,6.0,2,104
33,1094.0,1,1,3,1,1.0,5,95
45,188131.0,1,5,2,2,1.0,1,121
45,306877.0,2,5,2,1,1.0,1,102
18,305513.0,1,1,2,4,6.0,3,97
27,490920.0,2,1,3,2,1.0,1,97
62,501172.0,1,2,1,5,1.0,3,70
18,143537.0,2,1,1,1,1.0,6,75
30,59723.0,1,3,2,1,1.0,1,76
80,348588.0,1,1,2,2,6.0,6,88
59,110147.0,2,4,3,5,6.0,5,112
45,506899.0,2,3,5,1,6.0,4,567
30,13309.0,1,1,4,5,6.0,1,95
21,259581.0,1,3,4,1,1.0,6,64
42,47428.0,2,2,3,1,1.0,1,107
32,55502.0,2,1,1,3,1.0,2,172
37,108340.0,1,1,2,5,6.0,5,285
38,46586.0,2,5,2,1,1.0,1,90
35,5991.0,1,3,5,1,1.0,7,148
20,454384.0,2,3,1,1,1.0,1,84
18,515031.0,2,1,4,1,6.0,2,98
91,5528.0,1,2,1,1,1.0,2,122
18,445225.0,1,1,1,1,1.0,1,109
37,14499.0,2,1,4,2,1.0,2,115
18,492711.0,2,3,5,3,3.0,1,286
38,25191.0,1,5,1,5,1.0,1,323
33,49641.0,1,1,2,1,1.0,1,44
44,14090.0,2,4,2,5,1.0,1,107
27,45735.0,2,4,1,1,1.0,1,74
61,426311.0,1,1,4,5,1.0,1,107
38,323037.0,1,3,4,5,1.0,4,71
26,512405.0,2,5,2,5,6.0,5,75
74,130610.0,1,1,2,1,6.0,5,100
50,459032.0,2,2,3,1,3.0,1,178
34,446973.0,2,5,3,5,1.0,3,95
18,568862.0,2,1,4,1,1.0,2,122
52,53610.0,2,3,3,1,1.0,2,76
27,24437.0,1,3,2,5,1.0,2,121
45,244791.0,2,3,2,1,1.0,3,84
27,228064.0,2,1,5,1,6.0,1,123
18,295707.0,2,4,5,5,6.0,2,98
52,35512.0,1,5,3,1,6.0,2,125
40,20943.0,1,4,2,3,1.0,5,105
37,134047.0,1,3,4,5,1.0,5,87
34,553989.0,2,4,2,1,1.0,1,109
18,529123.0,2,5,1,5,1.0,2,93
42,30669.0,2,3,3,5,1.0,1,121
18,-2900.0,1,4,1,1,6.0,1,122
42,579415.0,2,2,1,1,1.0,1,91
18,105133.0,1,5,5,5,1.0,1,96
47,14886.0,1,3,4,5,1.0,1,129
42,423562.0,2,2,5,4,6.0,4,70
18,625545.0,2,1,2,1,6.0,3,104
18,38415.0,1,1,1,1,6.0,6,230
45,415397.0,1,1,5,1,3.0,2,74
51,56003.0,1,4,2,2,6.0,5,150
33,48326.0,2,3,5,5,1.0,3,120
42,90980.0,1,3,2,5,1.0,1,120
18,46327.0,1,5,5,1,6.0,2,117
24,44959.0,2,3,5,5,1.0,5,119
24,155529.0,2,4,2,1,1.0,1,101
33,32527.0,1,5,5,1,6.0,1,111
18,316619.0,2,3,2,5,6.0,1,109
22,137086.0,1,3,2,3,1.0,2,135
19,417636.0,1,1,4,2,1.0,3,72
42,271127.0,2,2,5,1,1.0,3,104
25,266651.0,2,3,4,1,1.0,3,103
49,37636.0,2,4,5,5,4.0,2,104
25,33948.0,2,4,5,5,6.0,2,20
44,34716.0,1,1,4,5,6.0,1,87
24,31493.0,1,1,2,1,1.0,1,100
58,137943.0,2,1,2,2,1.0,5,449
19,359256.0,2,3,1,1,1.0,1,122
18,570341.0,1,4,5,4,6.0,2,106
46,51031.0,2,5,3,5,1.0,4,109
47,254437.0,1,1,3,1,1.0,2,60
40,26882.0,1,1,5,1,6.0,2,300
23,269731.0,2,3,3,1,3.0,1,90
43,21821.0,1,3,5,1,6.0,1,84
20,152343.0,1,3,3,1,2.0,1,313
46,57625.0,2,1,2,4,6.0,1,30
18,195481.0,1,1,3,3,1.0,1,108
65,67268.0,2,4,4,2,1.0,3,105
62,106822.0,1,1,3,1,1.0,1,47
39,70985.0,2,5,4,1,1.0,6,94
18,501668.0,2,3,4,1,4.0,1,553
41,34439.0,2,3,4,1,1.0,1,88
29,384435.0,2,3,5,1,1.0,5,91
18,51919.0,1,3,3,1,6.0,3,83
25,57852.0,2,1,2,1,1.0,1,143
31,52879.0,2,2,2,1,6.0,1,141
30,47192.0,1,3,3,1,1.0,6,112
19,388552.0,2,4,5,1,6.0,2,107
64,37990.0,2,4,2,3,1.0,5,223
18,389354.0,1,5,1,4,1.0,6,129
25,342118.0,2,3,2,1,1.0,6,567
20,291804.0,1,4,2,1,1.0,5,55
21,163223.0,1,2,4,5,4.0,5,60
45,274193.0,2,3,2,4,1.0,1,97
21,269982.0,1,1,5,5,1.0,4,47
38,475557.0,2,3,5,1,6.0,5,104
18,-2900.0,2,3,1,1,1.0,1,129
22,640017.0,2,5,4,5,6.0,1,55
29,370018.0,2,3,5,5,6.0,2,304
30,37614.0,1,3,3,5,6.0,1,148
18,378052.0,2,4,3,1,4.0,1,107
18,452911.0,2,1,4,5,1.0,1,464
33,301394.0,1,1,3,1,2.0,3,85
23,32293.0,1,3,1,3,1.0,1,112
64,55723.0,1,3,2,5,1.0,1,120
73,29012.0,1,1,2,2,6.0,1,105
23,261036.0,2,3,3,3,6.0,2,92
40,22203.0,1,1,5,5,1.0,1,97
19,446963.0,1,5,4,5,1.0,1,90
54,68250.0,1,4,4,1,1.0,2,38
18,52908.0,2,3,2,1,6.0,3,106
27,662884.0,2,2,3,1,1.0,1,83
30,-2187.0,1,1,1,1,6.0,3,567
38,181676.0,1,1,5,5,1.0,1,169
26,491922.0,2,2,4,1,6.0,3,98
26,164973.0,1,1,3,1,6.0,1,118
18,32236.0,2,5,1,5,1.0,5,116
22,63943.0,2,4,4,1,1.0,2,80
20,19349.0,1,2,2,5,1.0,3,97
31,1077000.0,1,3,5,1,1.0,5,106
35,307901.0,2,1,5,2,1.0,1,120
87,522594.0,1,1,5,5,6.0,2,217
20,30923.0,1,1,3,1,1.0,1,87
18,136883.0,1,4,1,1,2.0,1,90
27,7118.0,1,3,2,5,1.0,1,124
54,360270.0,1,1,3,3,6.0,6,107
23,60234.0,2,3,5,3,3.0,1,96
18,402758.0,2,5,5,1,1.0,1,100
18,628948.0,2,4,3,1,1.0,2,76
24,-2900.0,1,5,4,1,6.0,1,266
21,142371.0,1,3,2,3,6.0,5,128
18,90122.0,2,5,2,5,4.0,5,129
41,33519.0,1,3,3,1,6.0,1,66
75,448985.0,1,1,3,1,6.0,3,41
26,258921.0,1,5,1,5,6.0,3,100
32,43049.0,1,1,3,5,1.0,1,336
46,642632.0,2,1,5,1,1.0,1,68
41,123125.0,1,3,4,5,3.0,4,114
77,387606.0,1,4,2,1,1.0,5,52
86,453673.0,1,4,3,5,6.0,1,73
42,423444.0,2,2,1,1,3.0,6,50
18,65987.0,1,1,3,3,1.0,2,90
19,112146.0,2,5,3,1,6.0,3,138
42,349435.0,2,1,2,5,6.0,1,371
28,32098.0,1,1,4,5,1.0,2,148
39,30582.0,1,4,5,5,4.0,1,43
84,35524.0,2,4,3,2,3.0,1,158
33,562542.0,2,1,5,1,1.0,3,93
25,208580.0,1,4,2,1,1.0,5,70
34,182066.0,2,1,5,3,6.0,5,115
23,18493.0,1,3,4,5,4.0,1,98
37,63106.0,1,3,5,1,1.0,1,94
18,471088.0,2,3,4,5,4.0,2,37
29,319439.0,2,4,4,5,1.0,1,109
38,521576.0,1,1,4,1,4.0,1,50
46,152422.0,2,4,3,1,6.0,1,304
18,488897.0,1,5,1,1,6.0,3,82
48,38928.0,2,5,4,5,1.0,5,130
34,24976.0,1,3,4,5,6.0,3,567
