AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
78,38000.0,1,3,4,5,1.0,5,240
23,40000.0,1,1,2,1,6.0,5,82
66,150000.0,1,1,3,1,6.0,5,62
73,24000.0,1,2,3,5,1.0,2,56
51,10100.0,1,1,5,1,1.0,1,216
67,55000.0,2,1,4,3,6.0,1,52
77,50000.0,1,3,5,3,6.0,2,67
70,5200.0,2,5,2,3,1.0,1,180
47,77920.0,2,3,3,1,6.0,3,10
44,390000.0,1,4,4,5,6.0,1,77
29,10600.0,2,1,2,1,1.0,1,240
63,150000.0,2,4,3,3,1.0,1,225
61,140000.0,2,1,5,5,1.0,1,52
52,98000.0,1,5,2,3,6.0,2,62
63,10200.0,2,4,3,5,1.0,5,49
43,100000.0,2,1,2,5,6.0,5,289
85,162000.0,2,1,1,1,6.0,3,59
24,13900.0,2,1,3,5,1.0,3,145
19,12000.0,2,1,5,1,6.0,3,69
78,180000.0,2,1,3,5,6.0,1,92
83,114000.0,1,4,5,5,1.0,5,66
45,0.0,2,3,2,5,1.0,1,101
60,4700.0,2,1,3,1,1.0,1,113
21,14500.0,2,1,4,5,6.0,2,340
56,1200.0,2,1,5,1,3.0,1,47
53,200.0,1,5,4,1,1.0,1,62
64,0.0,1,1,2,1,6.0,1,233
56,42000.0,2,4,3,1,1.0,1,57
60,14500.0,2,5,5,1,1.0,3,54
31,121500.0,2,3,2,5,1.0,1,88
42,60000.0,1,5,1,1,1.0,1,25
56,20100.0,1,1,3,1,1.0,1,41
74,12900.0,1,2,2,2,1.0,1,72
58,14000.0,2,1,2,1,1.0,3,26
57,40000.0,1,1,4,5,6.0,1,427
70,0.0,2,4,4,5,1.0,2,53
37,85000.0,2,5,3,2,1.0,5,52
56,46700.0,2,5,5,5,1.0,6,34
68,40000.0,2,1,2,5,6.0,2,280
66,70000.0,1,1,3,3,1.0,3,198
42,28000.0,1,5,2,1,1.0,1,50
34,52800.0,2,1,4,5,3.0,1,140
90,65000.0,1,4,3,1,1.0,1,52
85,50000.0,1,5,1,2,1.0,3,136
80,12000.0,1,3,1,1,6.0,1,59
25,26800.0,1,1,4,5,1.0,1,70
67,41000.0,1,3,3,1,1.0,1,5
44,38600.0,1,1,5,5,1.0,1,220
94,177000.0,1,5,4,1,1.0,1,64
73,0.0,2,3,4,3,1.0,4,58
70,427000.0,2,5,4,3,1.0,1,78
64,141000.0,1,1,4,1,1.0,2,117
40,3000.0,2,2,2,5,1.0,5,102
35,46600.0,1,3,4,5,6.0,1,133
62,4500.0,2,1,2,5,1.0,1,87
34,61000.0,2,1,1,1,1.0,1,108
56,26000.0,2,4,4,1,6.0,1,56
39,0.0,2,4,2,1,6.0,2,139
39,37400.0,1,5,1,1,1.0,1,167
39,12000.0,1,1,4,3,6.0,1,46
53,42000.0,1,1,4,1,1.0,2,62
49,15600.0,1,3,2,3,1.0,6,115
75,26000.0,2,1,2,1,6.0,3,31
41,10200.0,1,3,5,5,1.0,3,48
35,6500.0,1,2,4,5,1.0,5,109
55,86000.0,1,2,1,3,1.0,1,262
73,68700.0,2,5,3,1,1.0,5,169
19,30000.0,1,4,3,1,1.0,1,55
26,15600.0,2,1,2,1,6.0,5,3
18,16000.0,1,1,3,1,1.0,2,68
36,48000.0,1,3,3,1,6.0,1,63
24,35200.0,2,5,4,1,1.0,5,12
31,311000.0,1,1,3,1,6.0,3,140
76,10000.0,1,3,3,5,6.0,1,61
59,1400.0,2,1,1,1,6.0,3,409
47,130000.0,1,3,3,5,1.0,1,53
25,0.0,1,5,2,1,1.0,2,100
66,8000.0,2,4,5,5,1.0,2,149
32,5000.0,2,1,1,3,6.0,2,77
71,252000.0,2,2,3,5,6.0,6,70
64,0.0,2,4,5,5,1.0,3,95
32,301000.0,2,1,2,1,1.0,5,59
57,100000.0,1,1,2,5,1.0,1,43
40,40000.0,2,1,2,1,6.0,3,57
89,678000.0,2,1,5,1,1.0,1,10
64,45000.0,1,2,4,5,6.0,3,207
71,45000.0,1,3,2,3,2.0,1,66
60,50000.0,2,5,2,1,1.0,1,77
35,12000.0,2,1,5,5,1.0,5,47
30,85000.0,2,1,1,5,1.0,1,66
38,0.0,1,3,3,1,1.0,1,48
51,87600.0,2,1,1,1,1.0,1,15
33,0.0,1,3,3,1,1.0,1,31
78,0.0,1,5,3,1,6.0,1,116
40,128800.0,2,3,3,1,1.0,1,80
40,90000.0,1,4,4,1,1.0,1,72
22,90000.0,1,1,2,1,6.0,1,33
33,10000.0,2,1,3,5,6.0,5,18
30,22800.0,1,1,3,5,1.0,1,109
28,223000.0,1,3,1,4,1.0,6,52
63,140000.0,1,1,5,1,1.0,3,12
44,212000.0,1,1,5,5,6.0,1,94
70,121500.0,1,3,5,3,6.0,5,56
43,169000.0,1,1,2,5,6.0,3,83
24,100000.0,1,1,3,1,1.0,7,59
37,132000.0,1,1,4,5,6.0,2,10
29,678000.0,1,5,2,1,1.0,1,49
37,72000.0,1,4,3,1,1.0,2,110
35,383000.0,2,3,2,5,1.0,2,12
27,10200.0,2,1,3,5,1.0,2,75
26,100000.0,2,2,4,1,1.0,1,80
60,13900.0,2,4,2,2,6.0,3,49
28,0.0,2,1,2,5,6.0,6,56
19,57500.0,1,5,2,5,1.0,1,67
49,200000.0,2,1,2,2,1.0,1,24
72,0.0,1,3,3,1,1.0,1,47
31,0.0,2,4,3,2,1.0,3,142
48,0.0,1,1,5,5,1.0,5,5
