AGEP,PINCP,SEX,RAC1P_RECODED,SCHL_RECODED,MAR,ESR,POBP_RECODED,PWGTP
28,14500.0,1,2,1,5,6.0,1,186
19,5000.0,2,5,3,5,3.0,3,119
69,60000.0,2,3,3,2,1.0,5,35
47,210000.0,2,3,3,1,1.0,1,63
50,100000.0,2,3,5,1,1.0,5,52
64,82000.0,1,1,3,1,6.0,2,101
41,12000.0,2,3,3,5,1.0,1,58
43,4500.0,2,1,2,1,1.0,4,62
43,90000.0,2,4,5,1,1.0,1,72
29,0.0,1,5,4,5,6.0,1,91
43,80000.0,2,4,4,1,6.0,1,177
65,12000.0,1,1,4,5,1.0,3,249
67,8500.0,1,3,4,1,6.0,5,147
40,138000.0,1,2,3,1,6.0,1,77
38,0.0,2,4,3,1,3.0,3,41
78,0.0,2,4,3,2,6.0,6,207
21,6400.0,1,1,3,5,1.0,1,66
44,20000.0,2,4,2,1,1.0,3,63
21,30000.0,1,1,2,5,4.0,4,5
81,50800.0,1,1,2,3,6.0,1,42
67,70500.0,1,1,4,1,1.0,2,169
60,-2900.0,1,1,5,1,6.0,2,53
53,180000.0,1,3,4,2,1.0,5,61
30,280000.0,1,3,5,5,1.0,5,240
65,0.0,2,1,4,1,6.0,1,80
38,95200.0,2,3,4,1,1.0,5,38
39,300000.0,1,4,5,5,1.0,1,53
27,40000.0,2,1,3,5,1.0,2,82
40,6500.0,1,3,2,1,2.0,5,68
36,160000.0,1,3,5,1,1.0,5,61
48,120000.0,2,3,5,1,1.0,5,175
25,15200.0,2,1,4,5,1.0,1,67
28,0.0,1,1,4,5,6.0,1,30
39,40000.0,1,4,2,1,1.0,1,138
75,68500.0,1,3,5,1,6.0,5,72
42,9600.0,2,1,2,5,1.0,6,237
69,284700.0,1,1,5,3,1.0,4,52
32,60000.0,1,1,3,5,1.0,1,64
29,10000.0,1,1,3,1,1.0,6,243
27,0.0,2,4,3,5,3.0,6,133
35,20400.0,2,4,2,3,1.0,1,77
68,11000.0,2,4,3,1,6.0,1,139
26,45000.0,2,1,4,5,1.0,1,31
76,15600.0,1,5,2,5,6.0,1,62
68,88000.0,1,1,5,1,6.0,1,50
74,0.0,2,5,5,1,6.0,2,50
53,150000.0,1,1,3,1,1.0,1,63
19,33000.0,1,5,2,5,1.0,1,7
47,32000.0,2,4,2,5,1.0,3,409
44,25000.0,2,1,3,1,1.0,3,166
50,121500.0,2,1,4,1,1.0,2,56
23,50000.0,1,4,3,5,6.0,1,170
40,301000.0,1,3,4,1,1.0,5,77
46,41000.0,1,1,3,5,1.0,1,154
55,3000.0,2,3,4,1,1.0,5,56
41,250000.0,1,1,5,5,1.0,2,59
58,20000.0,2,2,3,3,1.0,2,47
24,0.0,2,5,2,5,6.0,1,149
74,16800.0,2,1,4,3,6.0,2,40
52,48000.0,1,5,1,1,1.0,3,76
64,140000.0,1,3,3,1,1.0,1,117
67,15600.0,2,1,4,1,6.0,1,136
33,55000.0,2,5,4,5,1.0,1,173
46,13200.0,1,2,2,4,6.0,1,280
51,230000.0,1,1,4,5,1.0,2,65
71,49400.0,2,1,3,2,6.0,2,58
22,30000.0,1,4,2,5,1.0,1,80
50,9000.0,2,5,1,5,6.0,3,115
45,252000.0,2,3,5,1,1.0,5,100
59,2100.0,2,3,1,1,1.0,5,63
31,48000.0,2,5,3,1,6.0,1,12
51,46700.0,1,5,2,3,1.0,1,204
75,11300.0,2,5,1,2,6.0,2,61
88,22300.0,1,3,3,3,6.0,5,87
43,61000.0,2,3,4,1,1.0,5,59
48,135000.0,2,1,5,1,1.0,5,71
77,33500.0,2,1,2,1,1.0,2,197
55,0.0,2,5,1,5,6.0,3,12
50,120000.0,2,3,5,3,1.0,5,68
73,20600.0,2,1,3,2,6.0,1,10
35,311000.0,1,3,5,1,1.0,5,115
44,50.0,2,5,4,1,6.0,1,78
76,14500.0,2,1,2,1,6.0,2,58
25,22000.0,1,1,3,5,1.0,1,88
38,200.0,2,3,4,1,6.0,1,140
45,176000.0,1,1,3,1,1.0,1,57
43,268000.0,1,3,4,1,1.0,5,67
61,14200.0,2,5,1,3,6.0,1,42
94,188000.0,1,1,3,2,6.0,2,24
68,35000.0,1,1,5,5,6.0,2,89
48,92000.0,1,4,2,5,1.0,3,65
39,70000.0,1,3,2,1,4.0,2,83
71,22800.0,1,1,3,5,6.0,2,88
55,185000.0,2,1,5,3,1.0,1,31
60,85000.0,2,3,4,1,1.0,1,109
79,0.0,2,4,1,2,6.0,7,130
26,39000.0,1,4,2,1,1.0,1,92
32,42000.0,1,2,4,5,1.0,1,67
48,150000.0,2,3,3,1,1.0,1,66
63,41000.0,1,1,2,5,6.0,2,85
34,27000.0,2,3,3,1,1.0,1,51
18,0.0,1,4,3,5,6.0,1,139
78,0.0,2,1,1,1,6.0,4,40
22,40800.0,2,1,3,5,1.0,1,73
70,10600.0,2,1,2,1,6.0,1,60
36,48000.0,2,1,3,5,1.0,1,76
73,0.0,2,3,3,2,6.0,5,23
41,70000.0,2,4,3,1,1.0,3,44
39,100000.0,1,1,4,1,6.0,1,75
65,80300.0,1,1,5,1,6.0,1,51
23,45000.0,1,1,3,5,1.0,1,202
37,0.0,2,4,1,5,6.0,3,500
56,102000.0,2,1,3,3,1.0,1,381
36,38000.0,1,1,3,5,1.0,1,92
83,45300.0,2,1,3,2,6.0,1,53
76,87100.0,1,1,5,1,6.0,2,57
31,14000.0,2,1,3,5,1.0,1,117
49,50000.0,1,5,1,1,1.0,1,392
44,85000.0,2,1,3,5,1.0,6,248
22,0.0,2,3,3,5,6.0,1,75
86,401600.0,2,1,1,2,6.0,1,74
70,50200.0,1,1,2,1,6.0,1,99
30,100000.0,2,3,5,1,1.0,1,155
46,125300.0,1,3,4,1,1.0,1,61
28,135000.0,2,3,5,5,1.0,1,59
45,678000.0,2,1,5,1,1.0,1,51
59,80000.0,2,1,4,1,6.0,2,59
31,67000.0,1,1,5,1,1.0,1,262
40,43000.0,1,5,2,1,1.0,5,56
20,35200.0,2,4,3,5,1.0,1,81
85,16400.0,2,3,4,1,6.0,5,61
80,6300.0,2,1,1,2,6.0,2,27
31,10000.0,2,5,2,3,1.0,3,194
25,30000.0,1,3,2,5,1.0,5,193
26,6300.0,1,4,2,5,1.0,3,39
35,0.0,2,4,2,5,6.0,3,45
18,0.0,2,5,1,5,6.0,1,30
27,1400.0,1,4,3,5,6.0,1,78
30,230000.0,1,1,3,3,1.0,4,375
28,77000.0,2,3,4,1,1.0,4,80
89,25500.0,2,5,1,5,6.0,3,31
45,678000.0,1,1,4,1,1.0,1,107
53,24400.0,1,4,1,1,1.0,3,75
54,46000.0,2,4,3,3,1.0,1,65
42,1200.0,2,4,3,5,6.0,1,53
64,38000.0,1,1,2,3,1.0,5,72
22,40000.0,1,4,1,5,1.0,1,66
34,30000.0,2,1,2,5,1.0,1,67
37,30000.0,1,1,3,1,1.0,1,54
65,9700.0,2,2,3,3,6.0,2,79
29,127000.0,1,5,3,5,1.0,3,41
48,15000.0,1,1,2,1,1.0,1,55
66,0.0,1,4,2,5,3.0,3,109
41,70000.0,2,1,4,1,1.0,6,40
47,0.0,1,2,2,5,6.0,1,105
45,180000.0,2,3,5,1,1.0,1,49
30,110000.0,2,3,5,5,1.0,5,172
64,45000.0,1,4,2,5,1.0,1,102
44,100000.0,1,5,4,1,1.0,2,48
51,0.0,1,5,2,5,6.0,1,9
53,75000.0,1,1,3,3,1.0,1,302
59,0.0,2,5,1,1,6.0,4,28
50,0.0,1,3,1,5,6.0,5,63
42,0.0,2,5,1,1,6.0,3,155
37,138100.0,1,1,4,1,1.0,1,427
82,68700.0,2,1,4,2,6.0,1,55
44,141000.0,1,3,4,1,1.0,1,61
63,60000.0,1,4,3,1,1.0,1,82
48,27000.0,2,5,2,1,1.0,3,55
20,69060.0,1,3,1,5,1.0,5,54
64,12000.0,2,1,3,3,1.0,1,10
21,70000.0,1,4,3,5,1.0,1,203
43,14000.0,2,5,4,5,1.0,5,103
65,3200.0,1,5,3,5,6.0,2,52
45,45000.0,2,3,4,1,1.0,5,80
24,61000.0,1,4,4,5,1.0,1,170
84,24000.0,2,1,3,1,6.0,2,99
26,30200.0,2,5,3,5,1.0,1,165
21,40000.0,1,5,3,5,1.0,1,143
62,32000.0,2,1,4,2,6.0,2,30
35,380000.0,1,1,2,1,1.0,1,51
52,6000.0,1,1,2,1,6.0,1,70
73,12000.0,2,3,4,1,6.0,5,61
43,130000.0,2,1,3,5,1.0,1,151
66,31600.0,1,2,2,1,6.0,1,51
23,25000.0,1,5,3,5,1.0,1,186
44,2500.0,1,1,5,1,6.0,1,73
64,148600.0,2,1,3,1,1.0,1,60
57,50000.0,1,3,5,1,6.0,5,229
56,65000.0,1,4,1,5,1.0,3,42
21,12000.0,2,1,3,5,1.0,1,90
21,53000.0,1,1,2,5,3.0,1,75
31,117500.0,1,1,5,5,1.0,1,68
60,440000.0,1,5,4,1,1.0,1,57
36,90000.0,2,3,3,5,1.0,5,440
48,200000.0,2,1,4,1,1.0,1,28
94,9840.0,2,1,4,1,6.0,2,51
33,40000.0,1,2,5,1,1.0,2,110
65,175000.0,1,3,3,1,1.0,5,64
24,0.0,1,3,4,5,6.0,1,136
60,30000.0,1,3,1,1,1.0,5,219
47,100000.0,1,1,5,3,1.0,1,29
25,16000.0,1,5,2,3,1.0,1,183
49,80000.0,2,1,4,3,1.0,2,108
47,40000.0,2,1,3,1,1.0,1,329
41,230000.0,1,1,5,1,1.0,2,52
23,3000.0,2,2,2,5,1.0,7,25
34,40000.0,2,1,5,1,1.0,1,86
24,41400.0,2,1,4,5,1.0,2,125
67,10600.0,2,4,1,1,6.0,3,53
33,90000.0,1,1,3,3,1.0,1,242
68,41000.0,1,2,2,4,6.0,1,122
66,0.0,2,4,1,4,6.0,6,85
69,38000.0,1,3,4,1,1.0,5,145
44,90000.0,1,5,4,1,1.0,1,91
33,100.0,1,3,4,5,3.0,1,109
89,50000.0,2,1,3,5,1.0,2,57
28,18000.0,2,1,5,5,1.0,1,38
59,195000.0,2,3,4,1,1.0,5,94
21,33600.0,1,2,3,1,4.0,6,176
72,25900.0,1,1,3,1,1.0,2,116
71,30000.0,1,3,3,3,6.0,2,94
44,127000.0,1,1,3,1,1.0,1,58
25,40000.0,2,5,4,5,1.0,1,172
30,20000.0,2,1,3,5,1.0,1,82
30,99000.0,1,4,2,1,1.0,1,23
84,137000.0,1,1,2,5,1.0,1,75
49,12000.0,2,5,2,1,1.0,3,8
48,46600.0,1,4,1,1,1.0,3,104
37,31200.0,2,5,3,1,1.0,1,31
37,165900.0,2,1,5,1,1.0,1,46
76,7700.0,1,5,1,5,6.0,3,32
35,0.0,1,5,4,5,3.0,2,34
66,140900.0,2,1,3,3,1.0,1,77
44,40900.0,1,4,1,1,1.0,3,149
73,38600.0,1,1,2,1,6.0,1,82
63,18000.0,2,1,4,1,1.0,1,50
34,225000.0,2,5,5,3,1.0,1,49
46,150000.0,1,1,4,1,1.0,4,52
66,3200.0,2,1,3,1,1.0,1,48
71,35000.0,2,1,5,1,6.0,1,47
35,2200.0,2,3,4,1,6.0,1,48
18,5000.0,1,1,3,5,6.0,1,11
34,70000.0,1,1,3,1,1.0,2,34
20,10000.0,2,5,1,5,1.0,3,37
22,6000.0,2,4,3,5,1.0,3,54
74,13200.0,2,3,1,1,6.0,5,53
84,29500.0,1,2,3,1,6.0,1,51
44,86000.0,1,1,4,1,1.0,2,63
43,28000.0,2,5,2,1,1.0,6,61
56,20000.0,1,3,1,1,1.0,5,71
64,350000.0,2,1,5,1,1.0,1,114
31,44000.0,1,1,2,1,3.0,1,59
50,34000.0,2,4,3,1,1.0,3,47
73,83800.0,2,1,4,3,6.0,1,56
23,0.0,1,5,2,5,3.0,1,167
20,3200.0,1,3,2,5,6.0,1,119
73,85000.0,1,1,2,1,1.0,1,336
40,200000.0,2,3,5,1,1.0,1,217
94,13000.0,2,3,3,3,6.0,5,74
23,15300.0,1,5,2,5,1.0,3,88
78,10800.0,1,2,3,1,6.0,1,52
37,5600.0,2,5,2,5,6.0,3,82
22,20000.0,1,3,4,5,1.0,1,47
24,13000.0,1,4,5,5,1.0,1,67
36,24000.0,1,1,3,5,4.0,1,18
78,38100.0,2,2,3,5,6.0,2,189
35,26800.0,2,4,3,5,6.0,1,4
80,0.0,2,4,2,2,6.0,3,23
25,72150.0,2,1,4,1,1.0,1,84
66,161000.0,1,1,4,1,1.0,2,53
